,Mon-Thu,Fri,Sat-Sun
C1 Lot,24 hrs/day,24 hrs/day,24 hrs/day
C2 Lot,24 hrs/day,24 hrs/day,24 hrs/day
C3 Lot,24 hrs/day,24 hrs/day,24 hrs/day
C4 Lot,24 hrs/day,24 hrs/day,24 hrs/day
C6 Lot,24 hrs/day,24 hrs/day,24 hrs/day
C7 Lot,24 hrs/day,24 hrs/day,24 hrs/day
C8 Lot,24 hrs/day,24 hrs/day,24 hrs/day
C9 Lot,24 hrs/day,24 hrs/day,24 hrs/day
C10 Lot,24 hrs/day,24 hrs/day,24 hrs/day
C11 Lot,24 hrs/day,24 hrs/day,24 hrs/day
C12 Lot,24 hrs/day,24 hrs/day,24 hrs/day
C13 Lot,24 hrs/day,24 hrs/day,24 hrs/day
C14 Lot,24 hrs/day,24 hrs/day,24 hrs/day
C15 Lot,24 hrs/day,24 hrs/day,24 hrs/day
C16 Lot,24 hrs/day,24 hrs/day,24 hrs/day
C17 Lot,24 hrs/day,24 hrs/day,24 hrs/day
C18 Lot,24 hrs/day,24 hrs/day,24 hrs/day
C19 Lot,24 hrs/day,24 hrs/day,24 hrs/day
Champions Drive Deck Level 2,24 hrs/day,24 hrs/day,24 hrs/day
Champions Drive Deck Level 3,24 hrs/day,24 hrs/day,24 hrs/day
Champions Drive Deck Level 4,24 hrs/day,24 hrs/day,24 hrs/day
Champions Drive Deck Level 5,24 hrs/day,24 hrs/day,24 hrs/day
Convo A,24 hrs/day,24 hrs/day,24 hrs/day
Convo B/E,24 hrs/day,24 hrs/day,24 hrs/day
Convo D,24 hrs/day,24 hrs/day,24 hrs/day
Convo F,24 hrs/day,24 hrs/day,24 hrs/day
Convo G,24 hrs/day,24 hrs/day,24 hrs/day
Mason Street Deck Commuter,24 hrs/day,24 hrs/day,24 hrs/day
U1 Lot,24 hrs/day,24 hrs/day,24 hrs/day
U2 Lot,24 hrs/day,24 hrs/day,24 hrs/day
U3 Lot,24 hrs/day,24 hrs/day,24 hrs/day
U4 Lot,24 hrs/day,24 hrs/day,24 hrs/day
U5 Lot,24 hrs/day,24 hrs/day,24 hrs/day
Warsaw Ave Deck Level 2 commuter,24 hrs/day,24 hrs/day,24 hrs/day
Warsaw Ave Deck Level 3,24 hrs/day,24 hrs/day,24 hrs/day
Warsaw Ave Deck Level 4,24 hrs/day,24 hrs/day,24 hrs/day
Warsaw Ave Deck Level 5,24 hrs/day,24 hrs/day,24 hrs/day
U5 Lot,24 hrs/day,24 hrs/day,24 hrs/day
Warsaw Ave Deck Level 2 commuter,24 hrs/day,24 hrs/day,24 hrs/day
Warsaw Ave Deck Level 3,24 hrs/day,24 hrs/day,24 hrs/day
Warsaw Ave Deck Level 4,24 hrs/day,24 hrs/day,24 hrs/day
Warsaw Ave Deck Level 5,24 hrs/day,24 hrs/day,24 hrs/day
